Week,Week Dates (Mon-Fri),Date,Day,Start (ADT),End (ADT),Duration (hrs),Meeting Title
1,2026-03-16 to 2026-03-20,,,,,1.0,Onboarding / Orientation
2,2026-03-23 to 2026-03-27,,,,,1.0,Team Introduction and Setup
2,2026-03-23 to 2026-03-27,,,,,0.5,1:1 with Manager
3,2026-03-30 to 2026-04-03,,,,,0.5,SRE Team Standup
3,2026-03-30 to 2026-04-03,,,,,1.0,Project Kickoff
3,2026-03-30 to 2026-04-03,,,,,0.5,1:1 with Manager
4,2026-04-06 to 2026-04-10,,,,,0.5,SRE Team Standup
4,2026-04-06 to 2026-04-10,,,,,1.0,IA Team Sync
4,2026-04-06 to 2026-04-10,,,,,0.5,1:1 with Manager
4,2026-04-06 to 2026-04-10,,,,,0.5,Knowledge Transfer
5,2026-04-13 to 2026-04-17,,,,,0.5,SRE Team Standup
5,2026-04-13 to 2026-04-17,,,,,1.0,IA Team Sync
5,2026-04-13 to 2026-04-17,,,,,0.5,1:1 with Manager
5,2026-04-13 to 2026-04-17,,,,,0.5,Knowledge Transfer
6,2026-04-20 to 2026-04-24,,,,,0.5,SRE Team Standup
6,2026-04-20 to 2026-04-24,,,,,1.0,IA Team Sync
6,2026-04-20 to 2026-04-24,,,,,0.5,1:1 with Manager
6,2026-04-20 to 2026-04-24,,,,,1.0,Sprint Planning
7,2026-04-27 to 2026-05-01,2026-04-28,Tuesday,9:30 AM,10:00 AM,0.5,Tech Talk || AI Strategy
7,2026-04-27 to 2026-05-01,2026-04-29,Wednesday,11:00 AM,11:30 AM,0.5,Configuration Service DEMO
7,2026-04-27 to 2026-05-01,2026-04-30,Thursday,8:30 AM,9:00 AM,0.5,Container Insights Cost Discussion for Dashboard
7,2026-04-27 to 2026-05-01,2026-05-01,Friday,1:00 PM,1:30 PM,0.5,Daily Standup
8,2026-05-04 to 2026-05-08,2026-05-04,Monday,1:00 PM,1:30 PM,0.5,Daily Standup
8,2026-05-04 to 2026-05-08,2026-05-05,Tuesday,1:00 PM,1:30 PM,0.5,Daily Standup
8,2026-05-04 to 2026-05-08,2026-05-06,Wednesday,1:00 PM,1:30 PM,0.5,Daily Standup
8,2026-05-04 to 2026-05-08,2026-05-07,Thursday,1:00 PM,1:30 PM,0.5,Daily Standup
8,2026-05-04 to 2026-05-08,2026-05-08,Friday,1:00 PM,1:30 PM,0.5,Daily Standup
8,2026-05-04 to 2026-05-08,2026-05-08,Friday,3:00 PM,3:30 PM,0.5,Support Handover - Sentry Loan Accrual
9,2026-05-11 to 2026-05-15,2026-05-11,Monday,10:30 AM,11:30 AM,1.0,MAS - Infrastructure Monitoring Review
9,2026-05-11 to 2026-05-15,2026-05-11,Monday,1:00 PM,1:30 PM,0.5,Daily Standup
9,2026-05-11 to 2026-05-15,2026-05-12,Tuesday,1:00 PM,1:30 PM,0.5,Daily Standup
9,2026-05-11 to 2026-05-15,2026-05-12,Tuesday,9:00 AM,10:00 AM,1.0,UiPath Sharepoint API Library - Overview
9,2026-05-11 to 2026-05-15,2026-05-14,Thursday,1:00 PM,1:30 PM,0.5,Daily Standup
9,2026-05-11 to 2026-05-15,2026-05-14,Thursday,2:30 PM,3:00 PM,0.5,CONFIG SERVICE DEMO - NA
9,2026-05-11 to 2026-05-15,2026-05-15,Friday,1:00 PM,1:30 PM,0.5,Daily Standup
9,2026-05-11 to 2026-05-15,2026-05-15,Friday,9:00 AM,9:30 AM,0.5,[Demo] RPA Support Agent
10,2026-05-18 to 2026-05-22,2026-05-19,Tuesday,1:00 PM,1:30 PM,0.5,Daily Standup
10,2026-05-18 to 2026-05-22,2026-05-19,Tuesday,9:00 AM,9:30 AM,0.5,UiPATH - VPL PRICING
10,2026-05-18 to 2026-05-22,2026-05-20,Wednesday,1:00 PM,1:30 PM,0.5,Daily Standup
10,2026-05-18 to 2026-05-22,2026-05-20,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
10,2026-05-18 to 2026-05-22,2026-05-20,Wednesday,9:30 AM,10:00 AM,0.5,Tech Talk || AI Use Case Framework overview
10,2026-05-18 to 2026-05-22,2026-05-21,Thursday,1:00 PM,1:30 PM,0.5,Daily Standup
10,2026-05-18 to 2026-05-22,2026-05-21,Thursday,3:30 PM,5:15 PM,1.75,HFX Town Hall
10,2026-05-18 to 2026-05-22,2026-05-21,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
10,2026-05-18 to 2026-05-22,2026-05-22,Friday,1:00 PM,1:30 PM,0.5,Daily Standup
